,a,b,e,c,d
250,4,0,1,4,1
251,4,0,1,4,1
252,4,0,1,4,1
253,4,0,1,4,1
254,8,0,4,8,1
255,8,0,4,8,1
256,8,0,4,8,1
257,8,0,4,8,1
258,8,0,4,8,1
259,8,0,4,8,1
260,8,0,4,8,1
261,8,0,4,8,1
262,8,0,4,8,1
263,8,0,4,8,1
264,8,0,4,8,1
265,8,0,4,8,1
266,8,0,4,8,1
267,8,0,4,8,1
268,8,0,4,8,1
269,8,0,4,8,1
270,8,0,4,8,1
271,8,0,4,8,1
272,8,0,4,8,1
273,8,0,4,8,1
274,8,0,4,8,1
275,8,0,4,8,1
276,8,0,4,8,1
277,8,0,4,8,1
278,8,0,4,8,1
279,8,0,4,8,1
280,8,0,4,8,1
281,8,0,4,8,1
282,8,0,4,8,1
283,8,0,4,8,1
284,8,0,4,8,1
285,8,0,4,8,1
286,8,0,4,8,1
287,8,0,4,8,1
288,8,0,4,8,1
289,8,0,4,8,1
290,8,0,4,8,1
291,8,0,4,8,1
292,8,0,4,8,1
293,8,0,4,8,1
294,8,0,4,8,1
295,8,0,4,8,1
296,8,0,4,8,1
297,8,0,4,8,1
298,8,0,4,8,1
299,8,0,4,8,1
300,8,0,4,8,1
301,8,0,4,8,1
302,8,0,4,8,1
303,8,0,4,8,1
304,8,0,4,8,1
305,8,0,4,8,1
306,8,0,4,8,1
307,8,0,4,8,1
308,6,0,-8,6,1
309,6,0,-8,6,1
310,6,0,-8,6,1
311,6,0,-8,6,1
312,6,0,-8,6,1
313,6,0,-8,6,1
314,6,0,-8,6,1
315,6,0,-8,6,1
316,6,0,-8,6,1
317,6,0,-8,6,1
318,6,0,-8,6,1
319,6,0,-8,6,1
320,6,0,-8,6,1
321,6,0,-8,6,1
322,6,0,-8,6,1
323,6,0,-8,6,1
324,6,0,-8,6,1
325,6,0,-8,6,1
326,6,0,-8,6,1
327,6,0,-8,6,1
328,6,0,-8,6,1
329,6,0,-8,6,1
330,6,0,-8,6,1
331,6,0,-8,6,1
332,6,0,-8,6,1
333,6,0,-8,6,1
334,6,0,-8,6,1
335,6,0,-8,6,1
336,6,0,-8,6,1
337,6,0,-8,6,1
338,6,0,-8,6,1
339,6,0,-8,6,1
340,6,0,-8,6,1
341,6,0,-8,6,1
342,6,0,-8,6,1
343,6,0,-8,6,1
344,6,0,-8,6,1
345,6,0,-8,6,1
